Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,22.0,22.239999771118164,21.639999389648438,21.770000457763672,21.566743850708008,4101700
2021-01-05,21.75,22.219999313354492,21.75,22.100000381469727,21.89366340637207,4131400
2021-01-06,22.219999313354492,23.190000534057617,22.059999465942383,23.1200008392334,22.90414047241211,4707000
2021-01-07,23.18000030517578,23.309999465942383,22.770000457763672,22.860000610351562,22.646568298339844,4131700
2021-01-08,23.549999237060547,23.700000762939453,23.040000915527344,23.270000457763672,23.0527400970459,4359200
2021-01-11,23.0,23.219999313354492,22.540000915527344,22.579999923706055,22.36918067932129,3810600
2021-01-12,22.610000610351562,22.84000015258789,22.309999465942383,22.40999984741211,22.200767517089844,2992000
2021-01-13,22.489999771118164,22.639999389648438,22.270000457763672,22.389999389648438,22.180953979492188,3295400
2021-01-14,22.540000915527344,22.600000381469727,21.6200008392334,21.65999984741211,21.45777130126953,5800800
2021-01-15,21.6200008392334,21.93000030517578,21.56999969482422,21.93000030517578,21.725250244140625,4124300
2021-01-19,22.280000686645508,22.84000015258789,22.079999923706055,22.3700008392334,22.161142349243164,6118400
2021-01-20,22.40999984741211,22.459999084472656,21.770000457763672,21.959999084472656,21.754968643188477,4509000
2021-01-21,21.93000030517578,22.190000534057617,21.829999923706055,22.030000686645508,21.824316024780273,3799300
2021-01-22,21.920000076293945,22.18000030517578,21.719999313354492,22.059999465942383,21.854036331176758,2620000
2021-01-25,22.040000915527344,22.75,21.739999771118164,22.709999084472656,22.497966766357422,6372500
2021-01-26,22.829999923706055,23.030000686645508,22.270000457763672,22.829999923706055,22.616846084594727,5921000
2021-01-27,22.739999771118164,23.829999923706055,22.739999771118164,23.149999618530273,22.93385887145996,14704300
2021-01-28,23.43000030517578,23.829999923706055,22.920000076293945,22.93000030517578,22.715913772583008,7673200
2021-01-29,22.780000686645508,23.139999389648438,22.239999771118164,22.270000457763672,22.062076568603516,5580700
2021-02-01,22.420000076293945,22.75,22.31999969482422,22.610000610351562,22.398900985717773,3359000
2021-02-02,22.780000686645508,23.0,22.56999969482422,22.860000610351562,22.646568298339844,4025200
2021-02-03,22.799999237060547,22.84000015258789,22.43000030517578,22.729999542236328,22.517780303955078,3356900
2021-02-04,22.93000030517578,23.25,22.799999237060547,22.989999771118164,22.775352478027344,3434600
2021-02-05,23.06999969482422,23.200000762939453,22.84000015258789,22.969999313354492,22.755538940429688,3006200
2021-02-08,23.06999969482422,23.440000534057617,23.06999969482422,23.25,23.032926559448242,3551700
2021-02-09,23.219999313354492,23.469999313354492,22.979999542236328,23.3700008392334,23.151805877685547,3081800
2021-02-10,23.5,23.65999984741211,23.309999465942383,23.469999313354492,23.250871658325195,4562300
2021-02-11,24.079999923706055,24.65999984741211,23.40999984741211,23.559999465942383,23.340030670166016,8410300
2021-02-12,23.5,24.010000228881836,23.5,23.989999771118164,23.766016006469727,3843700
2021-02-16,24.06999969482422,24.260000228881836,23.809999465942383,23.899999618530273,23.676856994628906,5353900
2021-02-17,23.8700008392334,24.040000915527344,23.719999313354492,23.8700008392334,23.647138595581055,4179000
2021-02-18,23.739999771118164,23.899999618530273,23.399999618530273,23.5,23.28059196472168,3416000
2021-02-19,23.6299991607666,24.18000030517578,23.530000686645508,23.90999984741211,23.686763763427734,4565100
2021-02-22,23.799999237060547,24.020000457763672,23.65999984741211,23.899999618530273,23.676856994628906,4204500
